348
260
0,0,0,0,122.072,1510.64,2777.14,1861.6,2105.75,2471.96,4135.19,10360.9,6042.57,3295.95,2655.07,8224.61,40695.801,46967.301,12542.9,8316.17,19302.699,25848.801,34821.102,56122.699,49958,22339.199,12481.9,7690.55,6515.6,5966.28,5600.06
0,0,0,0,381.476,1266.5,2960.25,1632.72,2029.45,2197.3,3921.57,9781.03,5996.8,3189.14,2960.25,7827.88,41275.699,46051.699,12283.5,8529.79,19882.5,25375.801,34958.398,55924.301,50354.801,22110.301,12527.7,7675.29,6607.16,5615.32,5127.03
0,0,0,0,274.662,1419.09,3173.88,1556.42,2182.04,2151.52,4364.08,10193,6057.83,3326.47,3326.47,8163.58,40940,46768.898,12588.7,8804.46,20050.4,25146.9,36011.301,56870.398,50873.602,22690.199,12207.2,7598.99,6744.49,6271.46,5386.43
0,0,0,0,335.698,1541.16,3097.58,1510.64,2227.82,2197.3,4196.23,10574.5,6286.72,3402.76,2929.73,8728.16,41504.5,46738.398,13748.4,8850.23,19714.699,25619.9,35584,57251.898,50858.301,22949.6,13031.2,8102.54,6881.82,6210.42,5355.92
0,0,0,0,335.698,1525.9,3051.8,1663.23,1968.41,2426.18,4257.27,10650.8,6439.31,3356.98,3326.47,8285.65,42343.801,48004.898,12954.9,8941.79,20096.1,26871.1,36972.602,58335.199,51880.699,22812.199,13412.7,8178.84,6836.04,6088.35,5554.28
0,0,0,0,320.439,1403.83,3418.02,1556.42,2090.49,2273.59,4409.86,10421.9,6240.94,3341.73,3219.65,8682.38,42938.898,47348.699,13260.1,8880.75,20523.4,26489.699,36774.199,58426.801,53513.398,23605.699,13382.2,8133.06,6729.23,6515.6,5432.21
0,0,0,0,366.217,1281.76,3540.09,1556.42,2197.3,2227.82,4318.3,10559.2,6210.42,3295.95,3326.47,8636.61,43076.199,47806.5,13260.1,9048.6,20202.9,26138.699,37369.301,58609.898,52658.898,23086.9,13412.7,8255.13,6775.01,6103.61,5813.69
0,0,0,0,396.735,1388.57,3204.39,1602.2,2151.52,2273.59,4211.49,10742.4,6607.16,3280.69,3021.29,8316.17,41901.301,49561.301,13199.1,9109.64,20508.1,26596.5,37048.898,59662.801,52781,24353.4,13565.3,8026.25,6881.82,5813.69,5783.17
0,0,0,0,289.921,1388.57,3433.28,1724.27,2304.11,2304.11,4470.89,11215.4,6683.45,3616.39,3341.73,8850.23,44663.199,49637.602,13931.5,9369.04,21042.199,27298.4,37369.301,61036.102,54428.898,24399.199,13595.8,8316.17,7064.93,6332.49,5630.58
0,0,0,0,381.476,1342.79,3463.8,1724.27,2273.59,2227.82,4547.19,10833.9,6713.97,3479.06,3555.35,9033.34,43503.5,49591.801,13534.8,9536.89,20904.9,27222.1,37903.398,60868.199,54322.102,23239.5,13687.3,8422.98,7187,6485.08,5645.84
